"","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",27,27,5,28,25,28,27,17,27,27,27
"2",10,0,26,0,25,5,27,28,27,2,27
"3",27,2,14,28,25,6,27,28,27,27,27
"4",0,0,26,26,25,5,28,28,27,7,27
"5",27,27,28,28,25,28,27,0,27,27,27
"6",12,27,7,25,27,20,28,8,27,27,27
"7",27,27,28,28,25,20,27,28,27,27,22
"8",27,27,28,4,26,28,16,28,27,27,27
"9",27,14,28,28,27,6,27,28,27,27,26
"10",27,27,27,28,25,6,27,28,27,27,27
"11",27,8,26,28,27,21,27,28,27,27,24
"12",14,28,28,28,27,28,27,0,27,27,26
"13",0,0,0,28,25,28,26,28,27,27,21
"14",3,28,28,28,25,5,26,28,27,27,27
"15",20,28,0,0,0,0,0,0,0,0,0
"16",20,28,3,28,25,5,16,28,28,10,28
"17",12,28,5,28,28,28,27,25,28,0,28
"18",6,8,28,28,28,28,27,25,28,28,28
"19",0,0,0,28,28,8,27,25,0,28,28
"20",14,28,28,28,28,5,27,25,28,9,28
"21",20,2,0,0,0,0,0,0,0,0,0
"22",20,17,28,28,28,28,27,27,28,28,28
"23",20,28,6,28,3,17,27,27,28,28,28
"24",20,28,28,28,28,28,27,27,28,14,28
"25",11,28,0,0,0,0,0,0,0,0,0
"26",20,28,28,28,28,28,27,27,28,28,2
"27",11,0,28,28,28,28,27,27,28,28,28
"28",20,28,28,28,28,28,27,27,28,28,28
"29",20,0,28,28,28,28,27,27,28,28,28
"30",20,28,0,0,0,0,0,0,0,0,0
"31",20,0,17,28,28,28,22,27,28,28,28
"32",18,28,2,28,28,28,27,27,28,28,28
"33",27,8,27,0,28,28,28,0,28,26,27
"34",26,27,6,27,9,28,28,28,28,26,4
"35",27,27,27,15,28,28,28,28,28,26,27
"36",21,25,27,27,28,20,28,28,28,26,27
"37",0,0,0,0,0,0,0,0,0,27,28
"38",0,14,12,16,27,11,28,28,28,0,0
"39",22,26,26,28,27,26,28,28,28,27,28
"40",22,26,12,21,20,26,28,28,28,16,28
"41",0,6,26,28,9,26,28,28,28,27,28
"42",22,26,26,28,27,26,28,28,28,0,28
"43",0,0,26,28,27,26,28,28,28,27,28
"44",0,0,26,28,27,7,28,28,28,0,28
"45",20,26,27,28,27,26,28,28,28,27,28
"46",0,14,27,28,24,26,28,28,28,27,28
"47",0,0,27,28,27,26,15,28,28,27,28
"48",15,26,0,23,27,26,28,28,28,6,28
"49",0,0,0,28,27,26,28,15,28,0,28
"50",0,0,27,28,27,26,28,28,28,0,28
"51",0,0,28,28,27,26,16,28,28,27,28
"52",15,26,28,28,27,26,28,28,15,27,17
"53",15,3,28,28,25,6,15,28,28,27,28
"54",15,26,28,28,27,26,28,28,28,27,28
"55",0,12,28,27,24,27,25,26,27,26,28
"56",19,26,28,27,27,27,25,26,27,26,28
"57",0,4,26,27,27,26,28,15,28,8,28
"58",19,8,28,28,27,18,28,28,28,27,28
"59",0,0,28,27,26,27,25,21,27,6,28
"60",0,0,28,13,26,5,15,26,17,26,28
"61",19,26,28,27,26,27,25,14,27,26,28
"62",19,26,27,27,26,27,25,26,27,26,28
"63",19,3,27,27,26,27,25,25,27,26,28
"64",7,3,27,27,26,27,25,13,27,26,28
"65",19,26,27,27,26,18,25,25,27,26,28
"66",0,12,17,27,26,27,25,25,27,26,28
"67",19,26,27,27,26,3,25,25,27,26,28
"68",0,3,18,27,26,6,25,26,27,26,28
"69",19,26,27,27,26,19,25,25,27,26,28
"70",0,0,27,27,28,28,28,26,28,15,7
"71",26,27,27,27,28,28,23,28,28,26,27
"72",26,6,7,27,28,28,25,28,28,26,27
"73",26,27,27,27,25,16,28,28,28,26,27
"74",26,27,27,27,23,0,0,0,0,0,0
"75",26,4,27,27,28,16,28,28,28,26,27
"76",0,0,0,0,0,0,28,28,28,26,27
"77",26,27,27,27,7,28,28,28,28,12,27
"78",26,27,27,27,25,20,28,28,28,26,27
"79",0,0,0,0,0,0,28,28,28,5,5
"80",19,27,28,28,24,28,27,28,28,26,27
"81",26,27,14,15,28,28,28,27,28,26,27
"82",26,3,6,28,11,28,0,28,11,26,21
"83",26,25,27,21,0,0,0,0,0,0,0
"84",20,27,28,28,6,28,18,27,26,24,28
"85",0,0,0,27,28,28,27,27,14,22,28
"86",20,0,28,28,28,5,27,27,26,28,4
"87",20,28,28,28,28,3,27,27,26,16,28
"88",20,8,28,28,28,28,25,27,26,16,28
"89",0,0,0,27,28,28,27,27,0,28,28
"90",20,28,28,28,28,28,27,27,26,28,28
"91",20,28,28,28,22,5,27,27,26,28,28
"92",20,28,28,28,28,6,27,27,26,21,28
"93",20,0,28,28,28,28,20,27,26,20,28
"94",20,28,28,17,28,0,27,27,26,28,28
"95",20,28,28,28,28,6,22,27,26,28,28
"96",0,0,0,0,0,0,15,27,26,28,28
"97",20,4,28,28,28,5,27,27,26,15,28
"98",20,0,0,28,28,28,27,27,26,28,0
